Name,Committee,Committee #
Tim Scott,"Banking, Housing, and Urban Affairs",116
Tim Scott,Finance,116
Tim Scott,"Health, Education, Labor and Pensions",116
Tim Scott,Small Business and Entrepreneurship,116
Tina Smith,"Agriculture, Nutrition, and Forestry",117
Tina Smith,"Banking, Housing, and Urban Affairs",117
Tina Smith,"Health, Education, Labor and Pensions",117
Tina Smith,"Agriculture, Nutrition, and Forestry",116
Tina Smith,"Banking, Housing, and Urban Affairs",116
Tina Smith,"Health, Education, Labor and Pensions",116
Todd Young,"Commerce, Science and Transportation",117
Todd Young,Finance,117
Todd Young,Foreign Relations,117
Todd Young,Small Business and Entrepreneurship,117
Todd Young,"Commerce, Science, and Transportation",116
Todd Young,Finance,116
Todd Young,Foreign Relations,116
Todd Young,Small Business and Entrepreneurship,116
Tom Carper,Environment and Public Works,117
Tom Carper,Finance,117
Tom Carper,Homeland Security and Governmental Affairs,117
Tom Carper,Environment and Public Works,116
Tom Carper,Finance,116
Tom Carper,Homeland Security and Governmental Affairs,116
Tom Cotton,Armed Services,117
Tom Cotton,Judiciary,117
Tom Cotton,Armed Services,116
Tom Cotton,"Banking, Housing, and Urban Affairs",116
Tom Udall,Appropriations,116
Tom Udall,"Commerce, Science, and Transportation",116
Tom Udall,Foreign Relations,116
Tom Udall,Rules and Administration,116
Tommy Tuberville,"Agriculture, Nutrition, and Forestry",117
Tommy Tuberville,Armed Services,117
Tommy Tuberville,"Health, Education, Labor and Pensions",117
Tommy Tuberville,Veterans' Affairs,117
